Model,subject,Regard,Score,CI
BERT Base,Unmarked,Negative,0.0874485596707819,0.02160493827160494
BERT Base,Unmarked,Neutral,0.7098765432098765,0.044238683127572016
BERT Base,Unmarked,Positive,0.20267489711934158,0.0411522633744856
BERT Base,Non Queer,Negative,0.13975155279503107,0.032091097308488616
BERT Base,Non Queer,Neutral,0.6811594202898551,0.04347826086956522
BERT Base,Non Queer,Positive,0.17908902691511386,0.039337474120082816
BERT Base,Queer,Negative,0.1477272727272727,0.026859504132231402
BERT Base,Queer,Neutral,0.6828512396694215,0.042355371900826444
BERT Base,Queer,Positive,0.16942148760330578,0.03719008264462809
BERT Large,Unmarked,Negative,0.10071942446043165,0.024665981500513873
BERT Large,Unmarked,Neutral,0.7029804727646454,0.04316546762589928
BERT Large,Unmarked,Positive,0.1963001027749229,0.038026721479958885
BERT Large,Non Queer,Negative,0.13608247422680414,0.031958762886597936
BERT Large,Non Queer,Neutral,0.6855670103092784,0.042268041237113405
BERT Large,Non Queer,Positive,0.17835051546391753,0.03814432989690721
BERT Large,Queer,Negative,0.1515463917525773,0.03092783505154639
BERT Large,Queer,Neutral,0.688659793814433,0.04329896907216495
BERT Large,Queer,Positive,0.15979381443298968,0.03505154639175258
RoBERTa Base,Unmarked,Negative,0.1637666325486182,0.04912998976458546
RoBERTa Base,Unmarked,Neutral,0.6622313203684749,0.05629477993858751
RoBERTa Base,Unmarked,Positive,0.17400204708290684,0.03480040941658137
RoBERTa Base,Non Queer,Negative,0.2599164926931107,0.055323590814196244
RoBERTa Base,Non Queer,Neutral,0.593945720250522,0.05636743215031315
RoBERTa Base,Non Queer,Positive,0.14613778705636746,0.03444676409185804
RoBERTa Base,Queer,Negative,0.25103734439834025,0.050829875518672206
RoBERTa Base,Queer,Neutral,0.5964730290456431,0.052904564315352696
RoBERTa Base,Queer,Positive,0.15248962655601658,0.03423236514522822
RoBERTa Large,Unmarked,Negative,0.0950920245398773,0.03169734151329243
RoBERTa Large,Unmarked,Neutral,0.6952965235173825,0.04805725971370143
RoBERTa Large,Unmarked,Positive,0.20961145194274028,0.03987730061349693
RoBERTa Large,Non Queer,Negative,0.19042663891779393,0.04682622268470343
RoBERTa Large,Non Queer,Neutral,0.6295525494276795,0.055150884495317375
RoBERTa Large,Non Queer,Positive,0.18002081165452652,0.03746097814776274
RoBERTa Large,Queer,Negative,0.2049689440993789,0.047619047619047616
RoBERTa Large,Queer,Neutral,0.6387163561076604,0.05279503105590062
RoBERTa Large,Queer,Positive,0.15631469979296067,0.040372670807453416
Llama 3 8B,Unmarked,Negative,0.15745568300312823,0.047966631908237745
Llama 3 8B,Unmarked,Neutral,0.7122002085505735,0.05943691345151199
Llama 3 8B,Unmarked,Positive,0.1303441084462982,0.03441084462982273
Llama 3 8B,Non Queer,Negative,0.1761006289308176,0.05450733752620544
Llama 3 8B,Non Queer,Neutral,0.6624737945492662,0.06289308176100629
Llama 3 8B,Non Queer,Positive,0.16142557651991613,0.038784067085953874
Llama 3 8B,Queer,Negative,0.18031088082901553,0.06010362694300518
Llama 3 8B,Queer,Neutral,0.7108808290155441,0.06321243523316061
Llama 3 8B,Queer,Positive,0.1088082901554404,0.029015544041450774
Llama 3 70B,Unmarked,Negative,0.10647181628392484,0.04384133611691023
Llama 3 70B,Unmarked,Neutral,0.6231732776617954,0.06889352818371608
Llama 3 70B,Unmarked,Positive,0.27035490605427975,0.05845511482254698
Llama 3 70B,Non Queer,Negative,0.154419595314164,0.054313099041533544
Llama 3 70B,Non Queer,Neutral,0.6219382321618744,0.07135250266240682
Llama 3 70B,Non Queer,Positive,0.22364217252396168,0.05005324813631523
Llama 3 70B,Queer,Negative,0.1640706126687435,0.05815160955347871
Llama 3 70B,Queer,Neutral,0.625129802699896,0.06749740394600208
Llama 3 70B,Queer,Positive,0.21079958463136034,0.04984423676012461
Gemma 3 4B,Unmarked,Negative,0.13914849428868123,0.05399792315680166
Gemma 3 4B,Unmarked,Neutral,0.6407061266874351,0.06438213914849429
Gemma 3 4B,Unmarked,Positive,0.2201453790238837,0.04569055036344756
Gemma 3 4B,Non Queer,Negative,0.15221987315010568,0.05496828752642705
Gemma 3 4B,Non Queer,Neutral,0.5771670190274841,0.07293868921775899
Gemma 3 4B,Non Queer,Positive,0.27061310782241016,0.057082452431289635
Gemma 3 4B,Queer,Negative,0.12111801242236024,0.04554865424430641
Gemma 3 4B,Queer,Neutral,0.7111801242236024,0.060041407867494824
Gemma 3 4B,Queer,Positive,0.16770186335403725,0.04451345755693581
Gemma 3 27B,Unmarked,Negative,0.11330561330561331,0.04677754677754678
Gemma 3 27B,Unmarked,Neutral,0.6694386694386695,0.06756756756756757
Gemma 3 27B,Unmarked,Positive,0.21725571725571727,0.05301455301455301
Gemma 3 27B,Non Queer,Negative,0.19957310565635009,0.058697972251867674
Gemma 3 27B,Non Queer,Neutral,0.6104589114194238,0.07363927427961582
Gemma 3 27B,Non Queer,Positive,0.1899679829242263,0.0544290288153682
Gemma 3 27B,Queer,Negative,0.15583075335397314,0.05779153766769866
Gemma 3 27B,Queer,Neutral,0.6821465428276573,0.06811145510835913
Gemma 3 27B,Queer,Positive,0.16202270381836945,0.04747162022703818
DeepSeek R1 8B,Unmarked,Negative,0.10743801652892562,0.027892561983471075
DeepSeek R1 8B,Unmarked,Neutral,0.7200413223140496,0.049586776859504134
DeepSeek R1 8B,Unmarked,Positive,0.1725206611570248,0.038223140495867766
DeepSeek R1 8B,Non Queer,Negative,0.16259298618490967,0.03294367693942614
DeepSeek R1 8B,Non Queer,Neutral,0.6599362380446333,0.047821466524973426
DeepSeek R1 8B,Non Queer,Positive,0.17747077577045697,0.04144527098831031
DeepSeek R1 8B,Queer,Negative,0.1352757544224766,0.026014568158168577
DeepSeek R1 8B,Queer,Neutral,0.7232049947970863,0.03954214360041623
DeepSeek R1 8B,Queer,Positive,0.14151925078043706,0.03642039542143601
DeepSeek R1 671B,Unmarked,Negative,0.05366357069143446,0.02063983488132095
DeepSeek R1 671B,Unmarked,Neutral,0.5933952528379772,0.07017543859649122
DeepSeek R1 671B,Unmarked,Positive,0.35294117647058826,0.07120743034055728
DeepSeek R1 671B,Non Queer,Negative,0.19444444444444445,0.05341880341880342
DeepSeek R1 671B,Non Queer,Neutral,0.5470085470085471,0.06623931623931624
DeepSeek R1 671B,Non Queer,Positive,0.25854700854700857,0.05982905982905983
DeepSeek R1 671B,Queer,Negative,0.09917355371900827,0.04132231404958678
DeepSeek R1 671B,Queer,Neutral,0.612603305785124,0.06508264462809918
DeepSeek R1 671B,Queer,Positive,0.2882231404958678,0.06198347107438017
GPT-4o Mini,Unmarked,Negative,0.12526096033402923,0.044885177453027135
GPT-4o Mini,Unmarked,Neutral,0.5835073068893528,0.06576200417536535
GPT-4o Mini,Unmarked,Positive,0.29123173277661796,0.060542797494780795
GPT-4o Mini,Non Queer,Negative,0.1908315565031983,0.058635394456289985
GPT-4o Mini,Non Queer,Neutral,0.5149253731343284,0.06716417910447761
GPT-4o Mini,Non Queer,Positive,0.2942430703624734,0.058635394456289985
GPT-4o Mini,Queer,Negative,0.15368421052631578,0.052631578947368425
GPT-4o Mini,Queer,Neutral,0.5463157894736842,0.06315789473684211
GPT-4o Mini,Queer,Positive,0.3,0.05578947368421053
GPT-4o,Unmarked,Negative,0.10748155953635405,0.03898840885142255
GPT-4o,Unmarked,Neutral,0.6048472075869336,0.0642781875658588
GPT-4o,Unmarked,Positive,0.28767123287671237,0.0547945205479452
GPT-4o,Non Queer,Negative,0.1535181236673774,0.04797441364605544
GPT-4o,Non Queer,Neutral,0.6247334754797441,0.06396588486140725
GPT-4o,Non Queer,Positive,0.22174840085287847,0.043710021321961626
GPT-4o,Queer,Negative,0.10073452256033578,0.03567681007345226
GPT-4o,Queer,Neutral,0.6474291710388248,0.058761804826862545
GPT-4o,Queer,Positive,0.2518363064008395,0.0472193074501574
Gemini 2.0 Flash Lite,Unmarked,Negative,0.17556468172484602,0.056468172484599594
Gemini 2.0 Flash Lite,Unmarked,Neutral,0.5934291581108829,0.07186858316221767
Gemini 2.0 Flash Lite,Unmarked,Positive,0.23100616016427106,0.06365503080082136
Gemini 2.0 Flash Lite,Non Queer,Negative,0.22529224229543038,0.057385759829968117
Gemini 2.0 Flash Lite,Non Queer,Neutral,0.59192348565356,0.06269925611052071
Gemini 2.0 Flash Lite,Non Queer,Positive,0.18278427205100953,0.04569606801275238
Gemini 2.0 Flash Lite,Queer,Negative,0.20976116303219106,0.060228452751817235
Gemini 2.0 Flash Lite,Queer,Neutral,0.6064382139148493,0.06749740394600208
Gemini 2.0 Flash Lite,Queer,Positive,0.18380062305295947,0.046728971962616814
Gemini 2.0 Flash,Unmarked,Negative,0.14568158168574402,0.048907388137356914
Gemini 2.0 Flash,Unmarked,Neutral,0.6659729448491155,0.06659729448491154
Gemini 2.0 Flash,Unmarked,Positive,0.18834547346514047,0.048907388137356914
Gemini 2.0 Flash,Non Queer,Negative,0.1744186046511628,0.053911205073995765
Gemini 2.0 Flash,Non Queer,Neutral,0.6680761099365751,0.06448202959830866
Gemini 2.0 Flash,Non Queer,Positive,0.15750528541226214,0.039112050739957716
Gemini 2.0 Flash,Queer,Negative,0.09513960703205791,0.035160289555325755
Gemini 2.0 Flash,Queer,Neutral,0.7362978283350569,0.055842812823164424
Gemini 2.0 Flash,Queer,Positive,0.16856256463288521,0.04136504653567735
