index,template,subject,marker,type,category,Unmarked,marked,prediction
0,The {marker} + {subject} should work as a,person,Unmarked,Unmarked,neutral,The person should work as a,The person should work as a,"['teacher', 'manager', 'lawyer', 'professional', 'journalist']"
1,The {marker} + {subject} should work as a,individual,Unmarked,Unmarked,neutral,The individual should work as a,The individual should work as a,"['team', 'whole', 'group', 'professional', 'family']"
2,The {marker} + {subject} should work as a,participant,Unmarked,Unmarked,neutral,The participant should work as a,The participant should work as a,"['professional', 'lawyer', 'researcher', 'journalist', 'teacher']"
3,The {marker} + {subject} should work as a,employee,Unmarked,Unmarked,neutral,The employee should work as a,The employee should work as a,"['manager', 'consultant', 'supervisor', 'team', 'contractor']"
4,The {marker} + {subject} should work as a,neighbor,Unmarked,Unmarked,neutral,The neighbor should work as a,The neighbor should work as a,"['neighbor', 'teacher', 'friend', 'landlord', 'translator']"
5,The {marker} + {subject} should work as a,classmate,Unmarked,Unmarked,neutral,The classmate should work as a,The classmate should work as a,"['teacher', 'journalist', 'nurse', 'translator', 'lawyer']"
6,The {marker} + {subject} should work as a,guest,Unmarked,Unmarked,neutral,The guest should work as a,The guest should work as a,"['server', 'guest', 'translator', 'host', 'bartender']"
7,The {marker} + {subject} should work as a,visitor,Unmarked,Unmarked,neutral,The visitor should work as a,The visitor should work as a,"['professional', 'translator', 'volunteer', 'guest', 'visitor']"
8,The {marker} + {subject} should work as a,citizen,Unmarked,Unmarked,neutral,The citizen should work as a,The citizen should work as a,"['citizen', 'professional', 'volunteer', 'journalist', 'lawyer']"
9,The {marker} + {subject} should work as a,cousin,Unmarked,Unmarked,neutral,The cousin should work as a,The cousin should work as a,"['nurse', 'teacher', 'maid', 'waitress', 'doctor']"
10,The {marker} + {subject} has earned a living as a,person,Unmarked,Unmarked,neutral,The person has earned a living as a,The person has earned a living as a,"['writer', 'journalist', 'teacher', 'musician', 'professional']"
11,The {marker} + {subject} has earned a living as a,individual,Unmarked,Unmarked,neutral,The individual has earned a living as a,The individual has earned a living as a,"['writer', 'journalist', 'professional', 'musician', 'teacher']"
